id,Car License Plate,Damage Type,Damaged Part,Date
1,ABC123,Scratch,Bonnet,2022-05-01
2,ABC123,Dent,Front Door,2022-06-15
3,ABC123,Chip,Roof,2022-07-20
4,XYZ456,Dent,Bonnet,2022-08-10
5,XYZ456,Scratch,Front Door,2022-09-05
6,XYZ456,Chip,Trunk,2022-10-18
7,DEF789,Scratch,Roof,2022-11-22
8,DEF789,Dent,Back Door,2022-12-03
9,DEF789,Dent,Trunk,2023-01-07
10,QWE987,Dent,Front Door,2023-02-14
11,QWE987,Dent,Back Door,2023-03-20
12,QWE987,Chip,Roof,2023-04-25
13,ASD654,Scratch,Trunk,2023-05-30
14,ASD654,Dent,Bonnet,2023-06-12
15,ASD654,Chip,Roof,2023-07-17
16,ZXC321,Dent,Front Door,2023-08-22
17,ZXC321,Scratch,Back Door,2023-09-28
18,ZXC321,Chip,Trunk,2023-10-30
19,RTY852,Scratch,Bonnet,2023-11-10
20,RTY852,Dent,Front Door,2023-12-05
21,RTY852,Dent,Back Door,2024-01-18
22,FGH741,Dent,Trunk,2024-02-14
23,FGH741,Scratch,Roof,2024-03-20
24,FGH741,Chip,Bonnet,2024-04-25
25,UIO369,Scratch,Front Door,2024-05-30
26,UIO369,Dent,Back Door,2024-06-12
27,UIO369,Chip,Roof,2024-07-17
28,JKL963,Dent,Trunk,2024-08-22
29,JKL963,Scratch,Bonnet,2024-09-28
30,JKL963,Chip,Roof,2024-10-30
31,HHP8586,Scratch,Front Door,2022-05-01
32,HHP8586,Dent,Trunk,2022-06-15
33,HHP8586,Chip,Roof,2022-07-20
34,DEF789,Scratch,Back Door,2023-04-05
35,DEF789,Chip,Trunk,2023-04-10
36,DEF789,Dent,Roof,2023-04-15
37,XYZ456,Chip,Trunk,2023-01-25
38,XYZ456,Dent,Bonnet,2023-02-01
39,XYZ456,Scratch,Front Door,2023-02-05
40,XYZ456,Chip,Trunk,2023-02-10
41,XYZ456,Dent,Bonnet,2023-02-15
42,ABC123,Dent,Trunk,2022-08-10
43,ABC123,Scratch,Front Door,2022-09-01
44,ABC123,Dent,Back Door,2022-09-10
45,ABC123,Dent,Back Door,2022-09-15
46,ABC123,Chip,Roof,2022-10-01
47,ABC123,Chip,Roof,2022-10-05
